Date;Open;High;Low;Close;Volume
01/07/2014;21,330.0;21,345.0;21,302.5;21,300.0;
02/07/2014;21,330.0;21,345.0;21,320.0;21,290.0;
03/07/2014;21,320.0;21,330.0;21,292.5;21,270.0;
04/07/2014;21,302.5;21,320.0;21,272.5;21,260.0;
07/07/2014;21,290.0;21,302.5;21,260.0;21,245.0;
08/07/2014;21,275.0;21,310.0;21,215.0;21,235.0;
09/07/2014;21,262.5;21,285.0;21,235.0;21,245.0;
10/07/2014;21,250.0;21,252.5;21,200.0;21,175.0;
11/07/2014;21,207.5;21,210.0;21,180.0;21,170.0;
14/07/2014;21,200.0;21,280.0;21,187.5;21,160.0;
15/07/2014;21,200.0;21,207.5;21,190.0;21,170.0;
16/07/2014;21,197.5;21,207.5;21,190.0;21,170.0;
17/07/2014;21,197.5;21,207.5;21,160.0;21,170.0;
18/07/2014;21,197.5;21,215.0;21,190.0;21,185.0;
21/07/2014;21,215.0;21,240.0;21,210.0;21,190.0;
22/07/2014;21,220.0;21,287.5;21,210.0;21,190.0;
23/07/2014;21,220.0;21,240.0;21,210.0;21,200.0;
24/07/2014;21,245.0;21,250.0;21,220.0;21,210.0;
25/07/2014;21,235.0;21,245.0;21,222.5;21,200.0;
28/07/2014;21,227.5;21,252.5;21,220.0;21,200.0;
29/07/2014;21,227.5;21,240.0;21,215.0;21,220.0;
30/07/2014;21,230.0;21,245.0;21,220.0;21,220.0;
31/07/2014;21,240.0;21,250.0;21,212.5;21,200.0;
01/08/2014;21,230.0;21,246.0;21,209.0;21,200.0;
04/08/2014;21,214.0;21,240.0;21,199.0;21,200.0;
05/08/2014;21,230.0;21,245.0;21,212.5;21,210.0;
06/08/2014;21,215.0;21,230.0;21,210.0;21,190.0;
07/08/2014;21,220.0;21,230.0;21,202.5;21,180.0;
08/08/2014;21,220.0;21,230.0;21,192.5;21,190.0;
11/08/2014;21,207.5;21,227.5;21,185.0;21,180.0;
12/08/2014;21,200.0;21,227.5;21,182.5;21,170.0;
13/08/2014;21,197.5;21,215.0;21,185.0;21,175.0;
14/08/2014;21,200.0;21,220.0;21,180.0;21,180.0;
15/08/2014;21,200.0;21,222.5;21,187.5;21,180.0;
18/08/2014;21,200.0;21,215.0;21,195.0;21,175.0;
19/08/2014;21,197.5;21,215.0;21,180.0;21,175.0;
20/08/2014;21,197.5;21,215.0;21,185.0;21,175.0;
21/08/2014;21,197.5;21,220.0;21,190.0;21,175.0;
22/08/2014;21,192.5;21,215.0;21,180.0;21,175.0;
25/08/2014;21,195.0;21,210.0;21,185.0;21,180.0;
26/08/2014;21,205.0;21,225.0;21,195.0;21,185.0;
27/08/2014;21,205.0;21,215.0;21,185.0;21,170.0;
28/08/2014;21,195.0;21,215.0;21,172.5;21,170.0;
